time	V(n001)	V(n003)	I(R1)
7.299993413655646e-04	2.486979e-01	2.840488e-01	2.367073e-04
7.397649663655644e-04	1.282629e-01	1.651397e-01	1.376164e-04
7.495305913655641e-04	5.898729e-03	4.373842e-02	3.644868e-05
7.592962163655639e-04	-1.165542e-01	-7.832897e-02	-6.527414e-05
7.690618413655637e-04	-2.372540e-01	-1.992264e-01	-1.660220e-04
7.788274663655635e-04	-3.543853e-01	-3.171354e-01	-2.642795e-04
7.885930913655633e-04	-4.661863e-01	-4.302824e-01	-3.585687e-04
7.983587163655631e-04	-5.709755e-01	-5.369656e-01	-4.474713e-04
8.081243413655629e-04	-6.671766e-01	-6.355802e-01	-5.296502e-04
8.178899663655627e-04	-7.533428e-01	-7.246430e-01	-6.038692e-04
8.276555913655625e-04	-8.281780e-01	-8.028142e-01	-6.690118e-04
8.374212163655623e-04	-8.905566e-01	-8.689182e-01	-7.240985e-04
8.471868413655621e-04	-9.395404e-01	-9.219604e-01	-7.683004e-04
8.569524663655619e-04	-9.743927e-01	-9.611431e-01	-8.009526e-04
8.667180913655616e-04	-9.945892e-01	-9.863871e-01	-8.219893e-04
8.751502838399757e-04	-9.999982e-01	-9.965504e-01	-8.304587e-04
8.827447099053710e-04	-9.952679e-01	-9.951025e-01	-8.292521e-04
8.925103349053708e-04	-9.758884e-01	-9.796358e-01	-8.163632e-04
9.022759599053706e-04	-9.418307e-01	-9.502781e-01	-7.918985e-04
9.120415849053704e-04	-8.936070e-01	-9.066353e-01	-7.555294e-04
9.218072099053702e-04	-8.319426e-01	-8.493631e-01	-7.078026e-04
9.315728349053700e-04	-7.577650e-01	-7.793227e-01	-6.494356e-04
9.413384599053698e-04	-6.721899e-01	-6.975677e-01	-5.813064e-04
9.511040849053696e-04	-5.765045e-01	-6.053276e-01	-5.044396e-04
9.608697099053693e-04	-4.721479e-01	-5.039896e-01	-4.199914e-04
9.706353349053691e-04	-3.606897e-01	-3.950780e-01	-3.292317e-04
9.804009599053689e-04	-2.438064e-01	-2.802309e-01	-2.335257e-04
9.901665849053687e-04	-1.232561e-01	-1.611755e-01	-1.343129e-04
9.999322099053685e-04	-8.518753e-04	-3.970261e-02	-3.308551e-05
1.009697834905368e-03	1.215652e-01	8.236086e-02	6.863405e-05
1.019463459905368e-03	2.421537e-01	2.031790e-01	1.693158e-04
1.029229084905368e-03	3.591001e-01	3.209346e-01	2.674455e-04
1.038994709905368e-03	4.706453e-01	4.338566e-01	3.615472e-04
1.048760334905367e-03	5.751115e-01	5.402466e-01	4.502055e-04
1.058525959905367e-03	6.709275e-01	6.385045e-01	5.320871e-04
1.068291584905367e-03	7.566522e-01	7.271523e-01	6.059603e-04
1.078057209905367e-03	8.309960e-01	8.048569e-01	6.707141e-04
1.087822834905367e-03	8.928410e-01	8.704494e-01	7.253746e-04
1.097588459905366e-03	9.412568e-01	9.229435e-01	7.691196e-04
1.107354084905366e-03	9.755151e-01	9.615495e-01	8.012913e-04
1.117119709905366e-03	9.951009e-01	9.861009e-01	8.217507e-04
1.125804189947218e-03	9.999489e-01	9.957159e-01	8.297632e-04
1.133809468792804e-03	9.938787e-01	9.931938e-01	8.276615e-04
1.143575093792804e-03	9.728807e-01	9.762726e-01	8.135606e-04
1.153340718792804e-03	9.372497e-01	9.453394e-01	7.877828e-04
